label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
576.2.a.g,576,1,0,0,0,2,-4,4,2,6,4,0,2,4,2,-2,-4,-8,10,-4,-6,-4,16,-6,4,12,-10,-14
576.2.a.h,576,1,0,0,0,2,4,-4,2,6,-4,0,2,-4,2,-2,4,8,10,4,-6,4,-16,-6,-4,-12,-10,-14
576.2.a.i,576,1,0,0,0,4,0,0,6,-8,0,0,-4,0,2,8,0,0,-4,0,10,0,0,6,0,0,-16,-18
577.2.a.a,577,2,0,0,1,6,-2,6,-1,-2,8,3,2,6,15,-10,4,3,5,-7,-1,9,-7,14,6,-15,-21,-27
577.2.a.b,577,2,0,3,2,0,-1,3,1,3,6,6,0,-2,-6,15,8,0,15,-12,-7,0,12,1,14,9,-24,-12
577.2.a.c,577,3,0,1,1,0,6,1,2,3,-7,-3,8,9,-24,2,4,0,23,-11,-18,30,-1,0,-14,-6,2,10
577.2.a.d,577,18,0,8,0,-2,11,11,1,14,-4,47,11,-8,21,6,0,54,-19,53,8,-28,24,-47,13,82,57,-7
577.2.a.e,577,22,0,-13,-8,-8,-20,-23,-13,-28,-9,-55,-15,-11,-14,-1,-24,-69,-46,-21,14,-29,-68,-10,-19,-42,-4,-6
578.2.a.a,578,1,0,1,2,0,4,-6,2,0,-4,0,0,4,4,-6,8,0,-6,0,4,8,0,-2,-8,0,-6,-14
578.2.a.b,578,2,0,-2,0,0,0,0,-8,0,-8,0,0,0,0,0,-8,-16,8,8,0,-24,0,0,0,8,0,0
578.2.a.c,578,2,0,2,0,0,0,0,12,0,8,0,0,0,0,0,-12,-16,12,12,0,-4,0,0,0,-28,0,0
578.2.a.d,578,2,0,2,0,0,0,0,4,0,8,0,0,0,0,0,8,0,-12,-24,0,-8,0,0,0,24,12,0
578.2.a.e,578,3,0,-3,-3,0,-9,0,0,0,0,-9,9,-18,-18,9,-9,0,-9,-9,-9,0,-9,-24,-6,-9,18,-9
578.2.a.f,578,3,0,-3,3,0,9,0,0,0,0,9,-9,18,18,-9,-9,0,-9,-9,9,0,9,24,6,-9,18,9
